task,seed,model,rollout_length,backtrack_k,error_mean,error_std,error_sem,n_windows
hopper-medium-replay-v2,0,rnn,63,3,0.11960002417937707,0.4257080719845317,0.013462071257900369,1000
hopper-medium-replay-v2,0,rnn,64,1,0.14153008534690573,0.5766308017265903,0.01823466702464979,1000
hopper-medium-replay-v2,0,rnn,65,1,0.1692361694372992,0.7817608110402128,0.024721447483475788,1000
hopper-medium-replay-v2,0,rnn,66,2,0.17844507765559534,0.9311995809058372,0.029447116318566863,1000
hopper-medium-replay-v2,0,rnn,67,2,0.15727133731543796,0.7166835091939873,0.02266352250535225,1000
hopper-medium-replay-v2,0,rnn,68,5,0.1637805456725427,0.8005610541543583,0.025315963371531754,1000
hopper-medium-replay-v2,0,rnn,69,1,0.17658445927588426,0.8297030618089635,0.02623751456931789,1000
hopper-medium-replay-v2,0,rnn,70,5,0.18534652712085864,0.7189566718393237,0.022735406219865018,1000
hopper-medium-replay-v2,0,rnn,71,2,0.18745668979238575,0.7757298483913492,0.024530731698937675,1000
hopper-medium-replay-v2,0,rnn,72,3,0.19666725981907268,0.8350872075868853,0.026407776208444013,1000
hopper-medium-replay-v2,0,rnn,73,4,0.18793669395510768,0.7414365353641496,0.023446281922146928,1000
hopper-medium-replay-v2,0,rnn,74,5,0.2091537073843586,0.8769793867858439,0.027732523232610384,1000
hopper-medium-replay-v2,0,rnn,75,4,0.24379918139131662,0.9758941876859738,0.030860483884075224,1000
hopper-medium-replay-v2,0,rnn,76,3,0.2570480009266422,0.9801327584612581,0.030994519260812467,1000
hopper-medium-replay-v2,0,rnn,77,4,0.26300797309006985,1.0223634557153236,0.03232997116581112,1000
hopper-medium-replay-v2,0,rnn,78,5,0.22646938760794677,0.8039556333829786,0.02542330939213513,1000
hopper-medium-replay-v2,0,rnn,79,1,0.19669521484373126,0.7639557309606889,0.024158401413745912,1000
hopper-medium-replay-v2,0,rnn,80,5,0.20740667260715048,0.8161488611841755,0.02580889311094582,1000
hopper-medium-replay-v2,0,rnn,81,5,0.2135087661367311,0.902139177078436,0.02852814566037824,1000
hopper-medium-replay-v2,0,rnn,82,4,0.21984269196496367,0.8632951427362795,0.02729978944006809,1000
hopper-medium-replay-v2,0,rnn,83,5,0.23698219363117898,0.9409694292050905,0.029756066048766492,1000
hopper-medium-replay-v2,0,rnn,84,3,0.19975566385635057,0.6106472796594069,0.019310362507095353,1000
hopper-medium-replay-v2,0,rnn,85,3,0.20879662979600108,0.6830773589804632,0.021600802724707352,1000
hopper-medium-replay-v2,0,rnn,86,3,0.24512252464330847,1.0133585124041686,0.03204520985517164,1000
hopper-medium-replay-v2,0,rnn,87,3,0.2398167965575853,0.955920283275193,0.030228853567029715,1000
hopper-medium-replay-v2,0,rnn,88,3,0.25344833934218075,0.9928140011203849,0.031395535364453775,1000
hopper-medium-replay-v2,0,rnn,89,1,0.26613143548695245,0.9253911610543039,0.02926343795519304,1000
hopper-medium-replay-v2,0,rnn,90,3,0.31114727316381746,1.0598084706740982,0.03351408650869916,1000
hopper-medium-replay-v2,0,rnn,91,3,0.32164007249490734,1.0960353402235539,0.03465968071143993,1000
hopper-medium-replay-v2,0,rnn,92,4,0.33618672793497517,1.158738434528365,0.03664252665487529,1000
hopper-medium-replay-v2,0,rnn,93,4,0.33093089973535517,1.0727303454307444,0.03392271206740352,1000
hopper-medium-replay-v2,0,rnn,94,5,0.31721804171981616,1.1499308128095782,0.03636400520086996,1000
hopper-medium-replay-v2,0,rnn,95,5,0.3129617642556232,1.1214086088444677,0.03546205391669361,1000
hopper-medium-replay-v2,0,rnn,96,2,0.2963536351034817,0.9582303785229187,0.03030190519297716,1000
hopper-medium-replay-v2,0,rnn,97,1,0.2932231617900345,0.893371883823065,0.028250899504362194,1000
hopper-medium-replay-v2,0,rnn,98,5,0.32367825055715693,1.0393915643410434,0.03286844724083146,1000
hopper-medium-replay-v2,0,rnn,99,5,0.37952920170609017,1.2494696718251324,0.03951170030270532,1000
hopper-medium-replay-v2,0,rnn,100,3,0.42003834450011607,1.4126580312002053,0.044672169335218545,1000
hopper-medium-replay-v2,0,ensemble,1,1,0.00334308977840589,0.019680731244508098,0.0006223593675028579,1000
hopper-medium-replay-v2,0,ensemble,2,1,0.006632543179786419,0.03589317639392787,0.0011350418986300114,1000
hopper-medium-replay-v2,0,ensemble,3,1,0.011228663761956135,0.06693689396488454,0.0021167304442621404,1000
hopper-medium-replay-v2,0,ensemble,4,1,0.014011054344389644,0.09409543360059232,0.0029755588759901017,1000
hopper-medium-replay-v2,0,ensemble,5,1,0.01437955899555102,0.07990219106676946,0.0025267291380895052,1000
hopper-medium-replay-v2,0,ensemble,6,1,0.021023395197931005,0.13703889478005754,0.004333550355371411,1000
hopper-medium-replay-v2,0,ensemble,7,1,0.018616229257753587,0.09035399353088848,0.0028572441524972693,1000
hopper-medium-replay-v2,0,ensemble,8,1,0.030518166127740685,0.18838024021291236,0.005957106252424457,1000
hopper-medium-replay-v2,0,ensemble,9,1,0.04419479133473344,0.3100240025773512,0.009803819774663417,1000
hopper-medium-replay-v2,0,ensemble,10,1,0.04846378083566325,0.3525891130490668,0.011149846754136472,1000
hopper-medium-replay-v2,0,ensemble,11,1,0.03858124513960997,0.21067725980601196,0.0066621999219004125,1000
hopper-medium-replay-v2,0,ensemble,12,1,0.038323343233380616,0.26072004217721495,0.008244691649351646,1000
hopper-medium-replay-v2,0,ensemble,13,1,0.04817030003919299,0.2914619871616526,0.00921683730789577,1000
hopper-medium-replay-v2,0,ensemble,14,1,0.04997270130143339,0.2943201325363664,0.009307219800575481,1000
hopper-medium-replay-v2,0,ensemble,15,1,0.050577443796102815,0.3295634585191923,0.010421711624830701,1000
hopper-medium-replay-v2,0,ensemble,16,1,0.06659907832442233,0.4293591395756316,0.013577528152691368,1000
hopper-medium-replay-v2,0,ensemble,17,1,0.06508402842888363,0.45944853853973827,0.01452903849421225,1000
hopper-medium-replay-v2,0,ensemble,18,1,0.05159413606823577,0.2733487563511963,0.008644046656441976,1000
hopper-medium-replay-v2,0,ensemble,19,1,0.06875181238162105,0.4192328412544722,0.01325730648307934,1000
hopper-medium-replay-v2,0,ensemble,20,1,0.08208581343094185,0.5352270992465432,0.016925366990640678,1000
hopper-medium-replay-v2,0,ensemble,21,1,0.08070772090875306,0.5587177727972596,0.017668207312558065,1000
hopper-medium-replay-v2,0,ensemble,22,1,0.07912642364627152,0.5456172577190423,0.01725393265087261,1000
hopper-medium-replay-v2,0,ensemble,23,1,0.07177171230981289,0.31744258485946175,0.01003841594487181,1000
hopper-medium-replay-v2,0,ensemble,24,1,0.08620784895462688,0.43543784094027865,0.013769753567973953,1000
hopper-medium-replay-v2,0,ensemble,25,1,0.0979312079039301,0.5790400191803896,0.01831085316997616,1000
hopper-medium-replay-v2,0,ensemble,26,1,0.08467019995600426,0.3595910158673673,0.01137126636274629,1000
hopper-medium-replay-v2,0,ensemble,27,1,0.09735236146209271,0.44569475956858845,0.014094105814378644,1000
hopper-medium-replay-v2,0,ensemble,28,1,0.09285631536968868,0.5037905300357435,0.015931255385364187,1000
hopper-medium-replay-v2,0,ensemble,29,1,0.10043516985138183,0.46129182135916075,0.01458732821502457,1000
hopper-medium-replay-v2,0,ensemble,30,1,0.12002296956253299,0.6027459634336987,0.01906050094923052,1000
hopper-medium-replay-v2,0,ensemble,31,1,0.12746169283217026,0.6950343430787914,0.021978915761678673,1000
hopper-medium-replay-v2,0,ensemble,32,1,0.11400107701604634,0.5412353641500196,0.017115365009447048,1000
hopper-medium-replay-v2,0,ensemble,33,1,0.11092403432649746,0.42172121137009544,0.013335995655348,1000
hopper-medium-replay-v2,0,ensemble,34,1,0.11141653171028272,0.46865798333576314,0.014820266709622484,1000
hopper-medium-replay-v2,0,ensemble,35,1,0.11706443762612764,0.4487716862962693,0.014191406780907844,1000
hopper-medium-replay-v2,0,ensemble,36,1,0.10542489130798174,0.4407949113889269,0.013939159010011038,1000
hopper-medium-replay-v2,0,ensemble,37,1,0.09906372968893433,0.3661888965197717,0.011579909668661846,1000
hopper-medium-replay-v2,0,ensemble,38,1,0.10943376926992016,0.4100429888168374,0.012966697832441575,1000
hopper-medium-replay-v2,0,ensemble,39,1,0.10691381071782659,0.38764025521933915,0.012258261192620853,1000
hopper-medium-replay-v2,0,ensemble,40,1,0.12806871924810262,0.5039861428887049,0.015937441206913802,1000
hopper-medium-replay-v2,0,ensemble,41,1,0.13268938563366706,0.6012130072808306,0.019012024619268198,1000
hopper-medium-replay-v2,0,ensemble,42,1,0.13694160650154705,0.5645734588123738,0.017853380363263623,1000
hopper-medium-replay-v2,0,ensemble,43,1,0.13843233402814972,0.5618130903802285,0.017766089848995553,1000
hopper-medium-replay-v2,0,ensemble,44,1,0.13550670072501733,0.521424821929676,0.016488900658454896,1000
hopper-medium-replay-v2,0,ensemble,45,1,0.1375145700551724,0.47248957670645564,0.014941432330812385,1000
hopper-medium-replay-v2,0,ensemble,46,1,0.14146040336706678,0.5087600397111964,0.016088405079650942,1000
hopper-medium-replay-v2,0,ensemble,47,1,0.12642559603330564,0.5016476489718402,0.015863491536196393,1000
hopper-medium-replay-v2,0,ensemble,48,1,0.1503586206565352,0.5938753020067491,0.018779986004616923,1000
hopper-medium-replay-v2,0,ensemble,49,1,0.20080116395250167,0.8405253856026673,0.026579746496957275,1000
hopper-medium-replay-v2,0,ensemble,50,1,0.22263960994344006,0.9514463031232478,0.030087373892164388,1000
hopper-medium-replay-v2,0,ensemble,51,1,0.21893967688161878,0.9078777344200488,0.028709614777208015,1000
hopper-medium-replay-v2,0,ensemble,52,1,0.2097079609638535,0.8570888161288015,0.027103528160242727,1000
hopper-medium-replay-v2,0,ensemble,53,1,0.19992521354268328,0.80501877029668,0.025456928733254114,1000
hopper-medium-replay-v2,0,ensemble,54,1,0.21858563899238784,0.9326037356488547,0.0294915195903195,1000
hopper-medium-replay-v2,0,ensemble,55,1,0.26763115654803415,1.1178718049050504,0.03535021035583346,1000
hopper-medium-replay-v2,0,ensemble,56,1,0.2793772267243346,1.1217648919773617,0.035473320578612064,1000
hopper-medium-replay-v2,0,ensemble,57,1,0.2735576877997342,1.0852686715768403,0.03431920875408056,1000
hopper-medium-replay-v2,0,ensemble,58,1,0.3008673646435906,1.151690045253066,0.03641963701542081,1000
hopper-medium-replay-v2,0,ensemble,59,1,0.31093066001993647,1.1496417550510676,0.03635486439194759,1000
hopper-medium-replay-v2,0,ensemble,60,1,0.27910529796947026,1.0007481222373158,0.031646434304065184,1000
hopper-medium-replay-v2,0,ensemble,61,1,0.2931920746922577,1.1143755707758551,0.03523964972501874,1000
hopper-medium-replay-v2,0,ensemble,62,1,0.29540079937922337,1.1418001015569217,0.0361068895353144,1000
