task,model,rollout_length,mean,std,sem,n_seeds,rollout_repeats
hopper-medium-replay-v2,ensemble,29,0.10615982092660063,0.001961123113977176,0.0011322549577687199,3,20
hopper-medium-replay-v2,ensemble,30,0.11046973107075007,0.0024095763012294486,0.001391169526147765,3,20
hopper-medium-replay-v2,ensemble,31,0.11405227900141794,0.002173643296944717,0.001254953542613258,3,20
hopper-medium-replay-v2,ensemble,32,0.1173187501185975,0.002329494082023522,0.0013449340353319209,3,20
hopper-medium-replay-v2,ensemble,33,0.12104586413153379,0.002288018840744746,0.0013209882936149147,3,20
hopper-medium-replay-v2,ensemble,34,0.12608288959788752,0.0024503375468815395,0.0014147030422975043,3,20
hopper-medium-replay-v2,ensemble,35,0.12915747016209103,0.0016338351594948224,0.000943295169145811,3,20
hopper-medium-replay-v2,ensemble,36,0.13203096760798386,0.0019041663788745783,0.0010993709714250727,3,20
hopper-medium-replay-v2,ensemble,37,0.13578237703917492,0.002504561619552419,0.0014460093252505943,3,20
hopper-medium-replay-v2,ensemble,38,0.14105164542868195,0.0032570115097949586,0.001880436471933829,3,20
hopper-medium-replay-v2,ensemble,39,0.14762266429930215,0.003696499361946377,0.002134174901679021,3,20
hopper-medium-replay-v2,ensemble,40,0.1531974414548803,0.004267889418979558,0.0024640671049194034,3,20
hopper-medium-replay-v2,ensemble,41,0.15729187054440216,0.004119889691637923,0.0023786194224987194,3,20
hopper-medium-replay-v2,ensemble,42,0.16185246326120814,0.004034741876899895,0.0023294593087388104,3,20
hopper-medium-replay-v2,ensemble,43,0.16612579124790303,0.002591542667282552,0.0014962278565719823,3,20
hopper-medium-replay-v2,ensemble,44,0.17329970740827697,0.0024216302894536153,0.0013981288994937963,3,20
hopper-medium-replay-v2,ensemble,45,0.17920596747220727,0.002479677320679536,0.0014316423685977401,3,20
hopper-medium-replay-v2,ensemble,46,0.18369149445100522,0.002229817595440817,0.00128738578897152,3,20
hopper-medium-replay-v2,ensemble,47,0.18741206574148309,0.00199590932633485,0.0011523387868375102,3,20
hopper-medium-replay-v2,ensemble,48,0.19157279128839946,0.0032159756397541948,0.0018567444013193634,3,20
hopper-medium-replay-v2,ensemble,49,0.19724901071940634,0.0032037759783876355,0.0018497009235453582,3,20
hopper-medium-replay-v2,ensemble,50,0.2027804788222799,0.003388158491122913,0.0019561542169069302,3,20
hopper-medium-replay-v2,ensemble,51,0.2076224174955884,0.003472732119491241,0.002004982824011728,3,20
hopper-medium-replay-v2,ensemble,52,0.21119897299426404,0.0025084251703477336,0.0014482399473422969,3,20
hopper-medium-replay-v2,ensemble,53,0.21955010157817997,0.002915473823514289,0.0016832495968212822,3,20
hopper-medium-replay-v2,ensemble,54,0.2286710721077924,0.002582934056257693,0.001491257672679431,3,20
hopper-medium-replay-v2,ensemble,55,0.23564854526536413,0.001898459703900437,0.0010960762210925747,3,20
hopper-medium-replay-v2,ensemble,56,0.24587071977567307,0.0032853428781063733,0.0018967935950549347,3,20
hopper-medium-replay-v2,ensemble,57,0.25538378648038224,0.0035156891375869173,0.00202978406997285,3,20
hopper-medium-replay-v2,ensemble,58,0.26541768842225294,0.0032254410199118577,0.0018622092411013722,3,20
hopper-medium-replay-v2,ensemble,59,0.2773190646528472,0.003648269716988823,0.002106329503179857,3,20
hopper-medium-replay-v2,ensemble,60,0.28930153448478696,0.0035173664811836047,0.002030752484749921,3,20
hopper-medium-replay-v2,ensemble,61,0.2984876940620503,0.0031675481711062803,0.0018287847892593178,3,20
hopper-medium-replay-v2,ensemble,62,0.3062069452263528,0.0030696635186294157,0.001772271058802267,3,20
hopper-medium-replay-v2,ensemble,63,0.3170362839539684,0.003336987516313725,0.0019266106408261498,3,20
hopper-medium-replay-v2,ensemble,64,0.32506164416592603,0.0031169840402809484,0.001799591574715973,3,20
hopper-medium-replay-v2,ensemble,65,0.33240433578351586,0.00233821306667944,0.0013499679434700752,3,20
hopper-medium-replay-v2,ensemble,66,0.3396964230634795,0.001985771339905747,0.001146485617643627,3,20
hopper-medium-replay-v2,ensemble,67,0.3467788982705467,0.0011730128861826925,0.0006772393056004774,3,20
hopper-medium-replay-v2,ensemble,68,0.35215401510645844,0.00038577134941094487,0.0002227251924280542,3,20
hopper-medium-replay-v2,ensemble,69,0.3564453758306562,0.0004085562348305171,0.000235880052158499,3,20
hopper-medium-replay-v2,ensemble,70,0.36387483870856974,0.0011976564342135762,0.0006914672646898956,3,20
hopper-medium-replay-v2,ensemble,71,0.3719478156444784,0.000933064354649001,0.0005387049563278451,3,20
hopper-medium-replay-v2,ensemble,72,0.3781905209943391,0.0006739712468179941,0.00038911748077643664,3,20
hopper-medium-replay-v2,ensemble,73,0.3875150058796211,0.00139804036112858,0.0008071589788355473,3,20
hopper-medium-replay-v2,ensemble,74,0.40001180141128495,0.0011086058687697893,0.0006400538967594368,3,20
hopper-medium-replay-v2,ensemble,75,0.41012140357995425,0.001827643754445104,0.001055190613611619,3,20
hopper-medium-replay-v2,ensemble,76,0.41814423759774516,0.0010363669875644577,0.0005983467592495812,3,20
hopper-medium-replay-v2,ensemble,77,0.4267477654038286,0.0022322341184304465,0.0012887809691700853,3,20
hopper-medium-replay-v2,ensemble,78,0.43437719889489723,0.002732756022325729,0.0015777574251193307,3,20
hopper-medium-replay-v2,ensemble,79,0.4437511587977883,0.003894057152376189,0.0022482349451641804,3,20
hopper-medium-replay-v2,ensemble,80,0.4545504543240721,0.002981521702651781,0.0017213823576207171,3,20
hopper-medium-replay-v2,ensemble,81,0.4663131351425582,0.0031239232821303167,0.0018035979478656778,3,20
hopper-medium-replay-v2,ensemble,82,0.47599238359856466,0.004006476676851106,0.002313140387881943,3,20
hopper-medium-replay-v2,ensemble,83,0.4880451785150823,0.003247000147028841,0.0018746564089458558,3,20
hopper-medium-replay-v2,ensemble,84,0.5013307473700598,0.0029988386880827394,0.0017313803238208339,3,20
hopper-medium-replay-v2,ensemble,85,0.5131517004050902,0.0033729430378693975,0.001947369570875171,3,20
hopper-medium-replay-v2,ensemble,86,0.524448524448744,0.0030591133333648995,0.0017661799064997983,3,20
hopper-medium-replay-v2,ensemble,87,0.5378919327158483,0.0034199198745873145,0.0019744916601999373,3,20
hopper-medium-replay-v2,ensemble,88,0.5504004395081853,0.004449210513867868,0.002568752887862927,3,20
hopper-medium-replay-v2,ensemble,89,0.5625026141327285,0.004675260059663526,0.002699262653978243,3,20
hopper-medium-replay-v2,ensemble,90,0.574119955000452,0.004230050786072214,0.0024422209600245813,3,20
hopper-medium-replay-v2,ensemble,91,0.5851147484855236,0.0036714646071350095,0.0021197210792495815,3,20
hopper-medium-replay-v2,ensemble,92,0.5944773612473249,0.003197194850456043,0.0018459013075624816,3,20
hopper-medium-replay-v2,ensemble,93,0.6042791501560271,0.001812615271259537,0.0010465139147989202,3,20
hopper-medium-replay-v2,ensemble,94,0.619099698065874,0.0013504383498057332,0.0007796759447843342,3,20
hopper-medium-replay-v2,ensemble,95,0.6323911318292886,0.0023638347673932596,0.001364760639274295,3,20
hopper-medium-replay-v2,ensemble,96,0.6441680928750887,0.003743334186572743,0.002161215000284502,3,20
hopper-medium-replay-v2,ensemble,97,0.6548480563371304,0.00504125345932689,0.002910569041795512,3,20
hopper-medium-replay-v2,ensemble,98,0.6669835743846604,0.0064076580801924595,0.0036994631174741975,3,20
hopper-medium-replay-v2,ensemble,99,0.6798777778867602,0.006964804764724917,0.004021131905767119,3,20
hopper-medium-replay-v2,ensemble,100,0.6936634876360479,0.007599783900081305,0.004387737280494926,3,20
hopper-medium-replay-v2,rnn,1,0.001076102073026664,0.00012064373637590676,6.965369367267202e-05,3,20
hopper-medium-replay-v2,rnn,2,0.0015894926464639027,0.0002494559404362898,0.0001440234543618432,3,20
hopper-medium-replay-v2,rnn,3,0.0021572033601237107,0.00033138993816779716,0.00019132807000791114,3,20
hopper-medium-replay-v2,rnn,4,0.0029603864288853597,0.0004779579752823666,0.00027594916569060284,3,20
hopper-medium-replay-v2,rnn,5,0.004127717965646983,0.0005186961853831713,0.00029946938225860597,3,20
hopper-medium-replay-v2,rnn,6,0.005626670558359358,0.0007294792037265457,0.00042116501463975505,3,20
hopper-medium-replay-v2,rnn,7,0.007194001844153417,0.0008927848662215576,0.0005154495828414403,3,20
hopper-medium-replay-v2,rnn,8,0.008888482548382893,0.0014087973470108199,0.0008133695275303276,3,20
hopper-medium-replay-v2,rnn,9,0.010173493560359704,0.0017797358296744426,0.0010275309603489614,3,20
hopper-medium-replay-v2,rnn,10,0.011420103014892246,0.0018585535668635125,0.0010730364021319882,3,20
hopper-medium-replay-v2,rnn,11,0.012624200419975683,0.002155606658780263,0.0012445400847137347,3,20
hopper-medium-replay-v2,rnn,12,0.013579656308660445,0.002408997589489273,0.0013908354067687914,3,20
hopper-medium-replay-v2,rnn,13,0.014252944367544288,0.002455222254640899,0.001417523229637283,3,20
hopper-medium-replay-v2,rnn,14,0.014909392286625295,0.0022753787442755355,0.001313690530515833,3,20
hopper-medium-replay-v2,rnn,15,0.01581970324300444,0.0024926881191518983,0.0014391541565981305,3,20
hopper-medium-replay-v2,rnn,16,0.017218160099877308,0.002793355486364264,0.001612744541994726,3,20
hopper-medium-replay-v2,rnn,17,0.01829697154986459,0.0028212212535703232,0.0016288328501923197,3,20
hopper-medium-replay-v2,rnn,18,0.019402390505808585,0.0031052140414579363,0.0017927961627271453,3,20
hopper-medium-replay-v2,rnn,19,0.020614002346916727,0.0032033117917336304,0.001849432925255714,3,20
hopper-medium-replay-v2,rnn,20,0.02126796797242106,0.003569325036480134,0.0020607507706370764,3,20
hopper-medium-replay-v2,rnn,21,0.022023972788783347,0.003968728783160816,0.002291346631298513,3,20
hopper-medium-replay-v2,rnn,22,0.023152761851789855,0.00429844890114442,0.0024817106301735824,3,20
hopper-medium-replay-v2,rnn,23,0.024615263570976504,0.005081392337395456,0.0029337432338533685,3,20
hopper-medium-replay-v2,rnn,24,0.02598303018868139,0.005406434413237692,0.003121406363838838,3,20
hopper-medium-replay-v2,rnn,25,0.02717739604661769,0.006174046543499084,0.003564587433878475,3,20
hopper-medium-replay-v2,rnn,26,0.02905359894686954,0.006372848731303042,0.0036793659305225765,3,20
hopper-medium-replay-v2,rnn,27,0.030587596213463453,0.00682307020433317,0.003939301419171471,3,20
hopper-medium-replay-v2,rnn,28,0.03228022327051928,0.00770261526225798,0.004447106995128765,3,20
hopper-medium-replay-v2,rnn,29,0.033089614455022,0.008228446707345361,0.004750695921498334,3,20
hopper-medium-replay-v2,rnn,30,0.034404198324752805,0.00893940714862878,0.005161169123656491,3,20
hopper-medium-replay-v2,rnn,31,0.03586621354557571,0.008808645373209478,0.005085673777418444,3,20
hopper-medium-replay-v2,rnn,32,0.036900378695046775,0.009054015296473861,0.005227338168666174,3,20
hopper-medium-replay-v2,rnn,33,0.0382549849519277,0.00918788998317257,0.00530463075506935,3,20
hopper-medium-replay-v2,rnn,34,0.040672472506322964,0.009245025288884578,0.005337617839202409,3,20
hopper-medium-replay-v2,rnn,35,0.041900120980607435,0.009354852812294112,0.0054010267894073335,3,20
hopper-medium-replay-v2,rnn,36,0.04437580731281399,0.009287237607490086,0.005361989132712418,3,20
hopper-medium-replay-v2,rnn,37,0.046626603910654096,0.01003179703370243,0.005791860717863788,3,20
hopper-medium-replay-v2,rnn,38,0.04971624331570949,0.010381262980717062,0.005993624976445293,3,20
hopper-medium-replay-v2,rnn,39,0.0520470034063212,0.010716669151656198,0.006187271819524865,3,20
hopper-medium-replay-v2,rnn,40,0.05406326240763726,0.01044415292481203,0.006029934502597843,3,20
hopper-medium-replay-v2,rnn,41,0.05601584342516641,0.01073088820907612,0.00619548119615388,3,20
hopper-medium-replay-v2,rnn,42,0.05816467835886303,0.01110904523707037,0.006413810258062308,3,20
hopper-medium-replay-v2,rnn,43,0.06001915917281172,0.011260149333219753,0.0065010502486498095,3,20
hopper-medium-replay-v2,rnn,44,0.06351246648185213,0.011812206214365704,0.00681978043758741,3,20
hopper-medium-replay-v2,rnn,45,0.066090006997801,0.012214074933750086,0.007051799450902873,3,20
hopper-medium-replay-v2,rnn,46,0.06720282812331535,0.01245490190350537,0.007190840966719209,3,20
hopper-medium-replay-v2,rnn,47,0.06847906551200786,0.012613964188441108,0.0072826756197447735,3,20
hopper-medium-replay-v2,rnn,48,0.0708018127782279,0.01255371546753087,0.007247891004508917,3,20
hopper-medium-replay-v2,rnn,49,0.07364350659541617,0.012932174109965344,0.007466394203595601,3,20
hopper-medium-replay-v2,rnn,50,0.07707429018762615,0.01321945659884574,0.007632256825884163,3,20
hopper-medium-replay-v2,rnn,51,0.07894743599134041,0.013500202880312357,0.007794345767062901,3,20
hopper-medium-replay-v2,rnn,52,0.08029220377260794,0.013990971216912557,0.008077690998308771,3,20
hopper-medium-replay-v2,rnn,53,0.08325880374543004,0.01513511584236882,0.008738263205807808,3,20
hopper-medium-replay-v2,rnn,54,0.08649568477342741,0.01594758106915884,0.009207340223202238,3,20
